id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,lat,long,security,transport,health,education
21479,95,3,1,0,112000,1179,1,0,0,0,0,40.34459,-3.715066,2,127,22,7
21478,30,1,1,0,59000,1967,0,0,0,1,0,40.34143,-3.68797,0,20,6,3
21477,53,1,1,6,146000,2755,0,0,1,1,1,40.338783,-3.678667,0,34,6,4
21476,125,3,3,7,275000,2200,0,0,1,1,0,40.348472,-3.676354,0,34,6,4
21473,66,2,1,2,96000,1455,0,0,0,1,0,40.34155,-3.688185,0,20,6,3
21472,63,3,1,4,82000,1302,0,0,0,1,0,40.343679,-3.687756,0,20,6,3
21470,95,3,1,0,199000,2095,0,0,0,1,1,40.339554,-3.717536,2,127,22,7
21469,65,2,1,2,232000,3569,0,0,1,1,1,40.343652,-3.704333,2,127,22,7
21468,69,2,1,1,240000,3478,0,0,1,1,0,40.344998,-3.706612,2,127,22,7
21466,60,3,1,3,120000,2000,0,0,0,1,0,40.343574,-3.711358,2,127,22,7
21465,90,3,2,4,172000,1911,0,0,1,1,1,40.335608,-3.69916,2,127,22,7
21464,60,3,1,2,82260,1371,0,0,1,1,0,40.34485,-3.690009,0,20,6,3
21463,65,2,1,0,109000,1677,0,0,1,1,0,40.357024,-3.697098,1,94,18,4
21462,115,4,1,1,133000,1157,0,0,1,1,0,40.353019,-3.693475,1,94,18,4
21461,83,3,2,1,111000,1337,1,0,1,1,0,40.342888,-3.691711,0,20,6,3
21460,55,2,1,2,110000,2000,0,0,0,1,0,40.346853,-3.707321,2,127,22,7
21458,68,3,1,1,156000,2294,0,0,0,1,0,40.345431,-3.714321,2,127,22,7
21457,89,2,2,1,228000,2562,0,0,1,1,0,40.343701,-3.704862,2,127,22,7
21456,61,3,1,4,89000,1459,0,0,0,1,0,40.34155,-3.688185,0,20,6,3
21454,68,3,1,2,94000,1382,0,0,0,1,0,40.344359,-3.690945,0,20,6,3
21451,63,3,1,1,167000,2651,0,0,1,1,0,40.354798,-3.692027,0,101,16,7
21449,63,3,1,3,84000,1333,0,0,0,1,0,40.345742,-3.714268,2,127,22,7
21448,52,2,1,4,101000,1942,1,0,0,0,0,40.357326,-3.699687,1,94,18,4
21447,125,3,2,1,210000,1680,0,0,1,1,1,40.359783,-3.691236,0,101,16,7
21446,125,3,3,1,275000,2200,0,0,1,0,0,40.345045,-3.675174,0,34,6,4
21445,75,3,1,2,131400,1752,0,0,0,0,0,40.350592,-3.688492,0,101,16,7
21441,95,2,2,0,154500,1626,0,0,1,0,0,40.345101,-3.704696,2,127,22,7
21440,61,3,1,4,100000,1639,0,0,0,1,0,40.354038,-3.681361,0,34,6,4
21439,42,4,1,0,95900,2283,0,0,0,0,0,40.342052,-3.685982,0,20,6,3
21438,85,3,1,1,154900,1822,0,0,0,1,1,40.348992,-3.6892,0,101,16,7
21437,80,2,1,3,115000,1438,0,0,1,1,0,40.349582,-3.69532,1,94,18,4
21436,55,2,1,3,96000,1745,0,0,0,1,0,40.348992,-3.6892,0,101,16,7
21435,60,0,1,0,85000,1417,0,0,0,1,0,40.345542,-3.715551,2,127,22,7
21434,60,2,1,3,95000,1583,0,0,0,1,0,40.343593,-3.686298,0,20,6,3
21430,82,3,1,3,83900,1023,0,0,0,1,0,40.34155,-3.688185,0,20,6,3
21429,53,2,1,1,96000,1811,0,0,0,1,0,40.350513,-3.68781,0,101,16,7
21428,69,2,1,0,118600,1719,0,0,0,0,0,40.34452,-3.704149,2,127,22,7
21427,58,2,1,1,118000,2034,0,0,0,1,0,40.354798,-3.692027,0,101,16,7
