,id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,coordinates
121,21621,87.0,2,2.0,2,190000,2184,False,True,True,True,True,"{'lat': 40.3398899, 'lng': -3.67918}"
122,21620,106.0,3,2.0,4,256115,2416,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
123,21619,113.0,3,2.0,Bajo,261989,2318,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
124,21618,115.0,3,2.0,1,273353,2377,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
125,21617,129.0,3,2.0,7,297621,2307,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
126,21616,115.0,3,2.0,6,279778,2433,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
128,21614,90.0,3,2.0,2,195000,2167,False,False,True,True,False,"{'lat': 40.3508424, 'lng': -3.701536899999999}"
129,21613,60.0,2,1.0,1,126900,2115,True,False,False,True,False,"{'lat': 40.3547983, 'lng': -3.6920269}"
130,21612,54.0,2,1.0,,136400,2526,False,,False,,False,"{'lat': 40.3497108, 'lng': -3.7018091}"
131,21611,80.0,3,1.0,Bajo,145000,1812,False,False,False,True,False,"{'lat': 40.3445883, 'lng': -3.7122615}"
132,21610,73.0,2,1.0,1,127500,1747,False,False,True,True,False,"{'lat': 40.3439682, 'lng': -3.7165806}"
133,21609,122.0,3,2.0,Bajo,179000,1467,False,False,True,True,True,"{'lat': 40.3339175, 'lng': -3.6994369}"
134,21608,98.0,3,2.0,Bajo,266122,2716,False,False,True,True,True,"{'lat': 40.3554369, 'lng': -3.695686}"
135,21607,97.0,3,2.0,Bajo,261989,2701,False,False,True,True,True,"{'lat': 40.3554369, 'lng': -3.695686}"
136,21606,111.0,3,2.0,7,297621,2681,False,False,True,True,True,"{'lat': 40.3554369, 'lng': -3.695686}"
137,21605,99.0,3,2.0,3,251569,2541,False,False,True,True,True,"{'lat': 40.3554369, 'lng': -3.695686}"
139,21603,85.0,3,1.0,4,138000,1624,False,False,False,True,False,"{'lat': 40.3434601, 'lng': -3.7171475}"
